month,year,red_blood_cells,platelet,fresh_frozen_plasma,leukocyte_filtered_apheresis_platelets
January,2005,28590,6344,74956,210
February,2005,27736,7207,77562,244
March,2005,29314,7232,76987,232
April,2005,33814,7280,77591,227
May,2005,32489,6914,75900,241
June,2005,37165,6973,77058,262
July,2005,29374,6912,71539,254
August,2005,24059,6844,77902,247
September,2005,21605,6458,74315,240
October,2005,14388,6225,68015,234
November,2005,15418,7076,70458,245
December,2005,25052,6592,73817,241
January,2006,17413,6448,68187,278
February,2006,18672,6718,66841,250
March,2006,20894,6386,68485,241
April,2006,28638,6430,69934,232
May,2006,25333,6768,68600,250
June,2006,28856,6652,70064,241
July,2006,20339,6124,67377,253
August,2006,14941,6599,75017,245
September,2006,10050,6625,70994,252
October,2006,7737,6532,72840,253
November,2006,8093,6730,71982,271
December,2006,10810,6480,77369,247
January,2007,10959,6753,68059,253
February,2007,22144,7041,77995,241
March,2007,20227,6510,71181,254
April,2007,21934,6609,73343,251
May,2007,25298,7122,78503,264
June,2007,36544,6563,79933,275
July,2007,34410,6739,77144,294
August,2007,23962,5869,77068,265
September,2007,12527,6268,77713,280
October,2007,10474,7890,80642,299
November,2007,12057,8683,79807,272
December,2007,11958,7715,77850,284
January,2008,14944,8298,81289,304
February,2008,26184,7450,85378,300
March,2008,22440,8651,78485,304
April,2008,27666,9207,78846,307
May,2008,30445,9434,76987,296
June,2008,38299,7746,72296,296
July,2008,33082,7818,67494,297
August,2008,29812,8191,75659,317
September,2008,32929,8854,76710,322
October,2008,26206,8033,73040,341
November,2008,23196,9234,73056,317
December,2008,23056,8967,75341,324
January,2009,15362,8548,82625,343
February,2009,16902,9908,90637,349
March,2009,19336,9315,88914,357
April,2009,24280,9295,92503,340
May,2009,32388,9978,88621,336
June,2009,48763,8541,85572,354
July,2009,45879,8804,82379,339
August,2009,44765,8726,84935,336
September,2009,38823,7998,79672,338
October,2009,23190,7748,80497,343
November,2009,24864,9828,93331,367
December,2009,38567,8157,87953,315
January,2010,24628,8526,75456,388
February,2010,35290,8712,84366,338
March,2010,25735,9390,84456,368
April,2010,23268,8984,89383,357
May,2010,29129,10073,95260,353
June,2010,45600,9917,95298,350
July,2010,50549,9102,81328,405
August,2010,56008,9010,85989,401
September,2010,60438,7644,83821,404
October,2010,42764,8568,71269,477
November,2010,41322,9792,74256,435
December,2010,35854,8982,75707,391
January,2011,24418,9029,73200,454
February,2011,24642,9376,80754,406
March,2011,19292,9454,79114,396
April,2011,21522,9074,80462,409
May,2011,28063,10412,87761,432
June,2011,35076,7417,79227,380
July,2011,20834,8979,73776,479
August,2011,16970,9020,86277,485
September,2011,13961,8714,77946,488
October,2011,13441,9256,75597,508
November,2011,18183,10608,79634,555
December,2011,19785,9338,74233,490
January,2012,14123,9112,80467,591
February,2012,24209,10381,97466,641
March,2012,19736,9313,90576,574
April,2012,18544,9991,87092,556
May,2012,30857,10558,96051,552
June,2012,38934,8836,85974,549
July,2012,32958,9471,84793,557
August,2012,30954,8065,90361,552
September,2012,22997,9091,81052,543
October,2012,18690,9576,84150,587
November,2012,24031,10172,86671,575
December,2012,27137,8735,84335,561
January,2013,23459,9929,93160,657
February,2013,28645,9090,98555,567
March,2013,19920,9498,101715,652
April,2013,34209,9085,104877,568
May,2013,39483,9152,100465,561
June,2013,44222,8285,95575,440
July,2013,33953,8462,93401,425
August,2013,38845,8794,98506,358
September,2013,39229,7562,94088,289
October,2013,22691,8965,91008,284
November,2013,35947,9223,94870,255
December,2013,36225,8711,90928,279
January,2014,31512,9084,94874,823
February,2014,23104,8388,94976,763
March,2014,21648,9217,99031,870
April,2014,26077,8176,96867,792
May,2014,36071,8686,103153,820
June,2014,44292,7025,90691,865
July,2014,38860,7818,89290,946
August,2014,43801,6908,90084,955
September,2014,32850,7794,87427,949
October,2014,25344,7413,85510,837
November,2014,29863,7307,89982,876
December,2014,29829,6903,80628,862
January,2015,24397,6537,78777,1011
February,2015,27520,6449,78413,921
March,2015,19122,6756,79871,1027
April,2015,20050,6785,81102,886
May,2015,28680,6813,85167,1021
June,2015,32884,6530,76744,1030
July,2015,38645,6563,78957,1119
August,2015,31317,6283,75139,1047
September,2015,26048,6735,72577,925
October,2015,17475,6819,70635,1040
November,2015,21705,6821,73917,897
December,2015,16543,6904,65497,975
January,2016,15775,6539,74625,1022
February,2016,16547,6269,79326,1143
March,2016,15286,6326,84156,1139
April,2016,15690,6355,84522,1352
May,2016,27919,6042,90488,1365
June,2016,27836,5506,81491,1245
July,2016,21649,5710,80921,1422
August,2016,20410,5577,80987,1141
September,2016,15272,6378,85175,1083
October,2016,21288,6469,87142,977
November,2016,24384,6792,87414,846
December,2016,23674,6748,87341,773
January,2017,19365,6987,94648,959
February,2017,18012,7462,99148,1044
March,2017,21423,6970,100388,937
April,2017,19142,6866,95629,884
May,2017,28126,7911,105308,962
June,2017,37417,6588,88283,781
July,2017,27288,7233,86929,850
August,2017,37093,7224,87902,823
September,2017,24333,7107,83319,816
October,2017,18001,7149,83742,867
November,2017,17241,7679,78120,790
December,2017,21626,8144,81521,779
January,2018,20089,7619,86298,785
February,2018,18585,8377,94374,936
March,2018,20628,8800,98074,951
April,2018,18475,7688,97294,817
May,2018,25255,8628,100606,866
June,2018,28399,7228,92998,815
July,2018,18529,7402,90443,838
August,2018,17102,6604,90800,778
September,2018,18072,7007,93838,849
October,2018,13366,7424,93536,800
November,2018,21443,8423,99615,828
December,2018,23753,7222,95030,803
January,2019,17576,7572,87825,934
February,2019,19665,7654,97460,1000
March,2019,15687,6715,93761,781
April,2019,14425,6800,89325,748
May,2019,18777,7543,95428,751
June,2019,25483,6709,88694,775
July,2019,19905,6894,86214,776
August,2019,17882,6340,82254,765
September,2019,14835,6234,83571,786
October,2019,14707,6988,86898,764
November,2019,18255,7481,89818,799
December,2019,21162,6975,92448,805
January,2020,16563,6880,90330,932
February,2020,16680,7593,91148,1034
March,2020,18452,6961,84495,917
April,2020,16800,6318,78920,882
May,2020,17502,7752,88352,966
June,2020,19950,6572,93237,841
July,2020,20245,7151,90877,869
August,2020,24505,7591,89391,992
September,2020,19179,7309,77217,972
October,2020,17041,6570,77923,844
November,2020,16222,7495,81032,953
December,2020,14804,7290,79654,956
January,2021,16147,6267,87978,887
February,2021,15745,6493,84549,944
March,2021,14289,7182,86075,945
April,2021,13644,6572,85950,913
May,2021,16333,7477,89866,973
June,2021,16517,6151,85073,910
July,2021,13917,6381,83742,914
August,2021,13276,6770,88483,984
September,2021,14522,6631,91495,917
October,2021,14197,6167,89813,899
November,2021,16433,7422,97566,962
December,2021,24474,7356,102600,878
January,2022,19641,5487,91955,913
February,2022,14314,6383,89549,988
March,2022,14939,5957,89239,891
April,2022,16284,7168,87545,880
May,2022,31965,7777,100985,1020
June,2022,40635,6662,98370,878
July,2022,33558,5947,86174,884
August,2022,22839,5476,81810,929
September,2022,26582,7082,83112,1001
October,2022,21567,6633,79986,1010
November,2022,22551,6815,82494,994
December,2022,23859,7005,86222,953
January,2023,18712,5661,85952,1033
February,2023,17655,7286,88863,1264
March,2023,16568,6949,91080,1176
April,2023,16513,7091,86156,1153
May,2023,18031,7511,86931,1159
June,2023,24438,7094,89234,1127
July,2023,28711,6916,83985,1169
August,2023,31568,7043,88072,1152
September,2023,32982,6934,86636,1144
October,2023,23631,6538,82297,1219
November,2023,20982,7177,86463,1237
December,2023,23840,7519,93304,1256
